SimulationID,Mean Memory (MB),Std Memory (MB),Time (s)
1.0,0.1751049615384615,0.09214865596811105,0.0
2.0,14.775390653846156,2.7822926798994305,0.1
3.0,25.019906846153848,5.376344784592092,0.2
4.0,33.152944673076924,5.795495309175499,0.30000000000000004
5.0,39.21551988461538,4.927992944592799,0.4
6.0,44.137169461538456,4.743971376347626,0.5
7.0,47.484853244897955,3.8669112484710984,0.6000000000000001
8.0,48.49470761290323,3.432851817800337,0.7000000000000001
9.0,48.66176476470588,3.321703378325495,0.8
10.0,49.1121093,2.771318539844745,0.9
11.0,49.26875,2.800679683479209,1.0
