Strategy,Average Expectation,Elapsed Time,Memory,Expectation_0,Expectation_1,Expectation_2,Expectation_3,Expectation_4,Expectation_5,Expectation_6,Expectation_7,Expectation_8,Expectation_9,Expectation_10,Expectation_11,Expectation_12,Expectation_13,SECURITY_Prob_Pos_0,SECURITY_Prob_Pos_1,SECURITY_Prob_Pos_2,SECURITY_Prob_Pos_3,SECURITY_Prob_Pos_4,SECURITY_Prob_Pos_5,SECURITY_Prob_Pos_6,SECURITY_Prob_Pos_7,SECURITY_Prob_Pos_8,SECURITY_Prob_Pos_9,SECURITY_Prob_Pos_10,SECURITY_Prob_Pos_11,SECURITY_Prob_Pos_12,SECURITY_Prob_Pos_13,NORMAL_Prob_Pos_0,NORMAL_Prob_Pos_1,NORMAL_Prob_Pos_2,NORMAL_Prob_Pos_3,NORMAL_Prob_Pos_4,NORMAL_Prob_Pos_5,NORMAL_Prob_Pos_6,NORMAL_Prob_Pos_7,NORMAL_Prob_Pos_8,NORMAL_Prob_Pos_9,NORMAL_Prob_Pos_10,NORMAL_Prob_Pos_11,NORMAL_Prob_Pos_12,NORMAL_Prob_Pos_13,RISKY_Prob_Pos_0,RISKY_Prob_Pos_1,RISKY_Prob_Pos_2,RISKY_Prob_Pos_3,RISKY_Prob_Pos_4,RISKY_Prob_Pos_5,RISKY_Prob_Pos_6,RISKY_Prob_Pos_7,RISKY_Prob_Pos_8,RISKY_Prob_Pos_9,RISKY_Prob_Pos_10,RISKY_Prob_Pos_11,RISKY_Prob_Pos_12,RISKY_Prob_Pos_13,Layout_Pos_0,Layout_Pos_1,Layout_Pos_2,Layout_Pos_3,Layout_Pos_4,Layout_Pos_5,Layout_Pos_6,Layout_Pos_7,Layout_Pos_8,Layout_Pos_9,Layout_Pos_10,Layout_Pos_11,Layout_Pos_12,Layout_Pos_13,Layout_Pos_14,Circle
Optimal_MDP,7.728642857142858,2.9983909130096436,2.75,15.337,13.041,11.103,13.322,11.849,10.076,7.948,5.964,4.001,1.977,4.902,3.723,2.913,2.045,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,True
Optimal_QLearning,11.632107142857143,43.50150394439697,8.828125,19.1276,16.6872,14.6233,18.0234,18.0681,17.3503,16.421,13.713,8.4139,1.9905,7.4601,5.51,3.4519,2.0092,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,True
Always_Security,8.613214285714285,3.349198818206787,0.21875,16.782,15.047,12.87,13.746,12.165,9.923,7.95,6.042,4.011,2.041,7.97,6.017,4.031,1.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,True
Always_Normal,29.258857142857146,10.854511260986328,0.015625,40.448,38.837,34.494,37.327,37.094,35.382,32.662,30.044,19.515,23.485,22.386,19.6,15.38,22.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,True
Always_Risky,81.89200000000001,29.627166032791138,0.0,100.0,100.0,87.554,96.15,95.696,92.394,95.299,71.779,73.533,74.375,73.635,57.001,61.006,68.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,True
Random,37.86421428571429,18.522515058517456,0.125,51.28,47.163,42.143,48.007,48.369,47.214,43.722,36.693,29.702,27.362,33.135,25.288,24.409,25.612,0.35659603585800304,0.36174661744808656,0.3216085932760637,0.30818919836777,0.2519894334744864,0.2834296729441357,0.30744820678423457,0.30947819740923194,0.3138823621553885,0.30766788766788783,0.30483498349834987,0.27652733118971057,0.27559523809523806,0.24537037037037038,0.3455237157850007,0.3299074987817132,0.33153232313837994,0.36060462974525465,0.3784989695709722,0.3659140274326227,0.36246177161304177,0.31405993431855506,0.3249569235588973,0.3614095780762448,0.34163366336633677,0.344748124330118,0.3407738095238095,0.3402777777777778,0.2978802483569957,0.3083458837702,0.34685908358555634,0.3312061718869756,0.3695115969545413,0.35065629962324185,0.3300900216027236,0.37646186827221323,0.3611607142857144,0.33092253425586765,0.35353135313531353,0.3787245444801715,0.3836309523809524,0.41435185185185186,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,True
