Strategy,Average Expectation,Elapsed Time,Memory,Expectation_0,Expectation_1,Expectation_2,Expectation_3,Expectation_4,Expectation_5,Expectation_6,Expectation_7,Expectation_8,Expectation_9,Expectation_10,Expectation_11,Expectation_12,Expectation_13,SECURITY_Prob_Pos_0,SECURITY_Prob_Pos_1,SECURITY_Prob_Pos_2,SECURITY_Prob_Pos_3,SECURITY_Prob_Pos_4,SECURITY_Prob_Pos_5,SECURITY_Prob_Pos_6,SECURITY_Prob_Pos_7,SECURITY_Prob_Pos_8,SECURITY_Prob_Pos_9,SECURITY_Prob_Pos_10,SECURITY_Prob_Pos_11,SECURITY_Prob_Pos_12,SECURITY_Prob_Pos_13,NORMAL_Prob_Pos_0,NORMAL_Prob_Pos_1,NORMAL_Prob_Pos_2,NORMAL_Prob_Pos_3,NORMAL_Prob_Pos_4,NORMAL_Prob_Pos_5,NORMAL_Prob_Pos_6,NORMAL_Prob_Pos_7,NORMAL_Prob_Pos_8,NORMAL_Prob_Pos_9,NORMAL_Prob_Pos_10,NORMAL_Prob_Pos_11,NORMAL_Prob_Pos_12,NORMAL_Prob_Pos_13,RISKY_Prob_Pos_0,RISKY_Prob_Pos_1,RISKY_Prob_Pos_2,RISKY_Prob_Pos_3,RISKY_Prob_Pos_4,RISKY_Prob_Pos_5,RISKY_Prob_Pos_6,RISKY_Prob_Pos_7,RISKY_Prob_Pos_8,RISKY_Prob_Pos_9,RISKY_Prob_Pos_10,RISKY_Prob_Pos_11,RISKY_Prob_Pos_12,RISKY_Prob_Pos_13,Layout_Pos_0,Layout_Pos_1,Layout_Pos_2,Layout_Pos_3,Layout_Pos_4,Layout_Pos_5,Layout_Pos_6,Layout_Pos_7,Layout_Pos_8,Layout_Pos_9,Layout_Pos_10,Layout_Pos_11,Layout_Pos_12,Layout_Pos_13,Layout_Pos_14,Circle
Optimal_MDP,8.1475,3.187941074371338,2.34375,15.602,13.445,11.333,12.948,11.874,9.982,8.027,6.002,4.112,2.088,6.668,6.046,3.926,2.012,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2,3,4,2,1,0,3,1,2,0,3,1,0,True
Optimal_QLearning,11.845778571428571,42.529123067855835,9.640625,20.0239,17.946,15.9662,17.4015,16.5536,14.5774,12.6114,10.781,7.3671,2.0123,10.5735,10.7316,7.2969,1.9985,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,2,3,4,2,1,0,3,1,2,0,3,1,0,True
Always_Security,8.639999999999999,3.2537968158721924,0.546875,17.185,15.008,13.037,13.933,12.179,9.965,7.938,5.973,3.936,2.02,7.951,5.846,3.964,2.025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2,3,4,2,1,0,3,1,2,0,3,1,0,True
Always_Normal,25.454285714285714,8.979376077651978,0.0,33.619,32.754,29.411,30.219,32.238,27.258,23.193,24.822,15.74,22.261,22.713,25.0,16.219,20.913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2,3,4,2,1,0,3,1,2,0,3,1,0,True
Always_Risky,36.867000000000004,11.643978118896484,0.015625,47.595,44.899,38.01,42.488,37.587,39.183,40.397,29.575,30.34,36.777,35.97,24.838,33.207,35.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,1,2,3,4,2,1,0,3,1,2,0,3,1,0,True
Random,28.77707142857143,13.302370071411133,0.015625,39.145,36.514,31.078,35.622,32.645,30.231,28.374,25.948,24.582,22.591,26.928,24.218,22.835,22.168,0.33271901908616297,0.31646087355539915,0.3281452295846138,0.30783636126716124,0.3303061846473176,0.2821428571428573,0.2927348777348778,0.30508253097406157,0.32158674658674685,0.2881800197823937,0.31749938317295834,0.3389551699204627,0.28623646641755296,0.29,0.33564061129270356,0.33144609461338453,0.32932223511977754,0.37010395173362415,0.33765213816014295,0.34324649380300065,0.3272779922779922,0.35362413300749135,0.33387515262515266,0.3263600395647873,0.31041204046385396,0.32706073752711506,0.355664143591709,0.324074074074074,0.3316403696211334,0.3520930318312161,0.3425325352956089,0.32205968699921433,0.33204167719253924,0.37461064905414215,0.3799871299871299,0.34129333601844764,0.34453810078810104,0.3854599406528189,0.37208857636318765,0.33398409255242234,0.35809938999073815,0.3859259259259258,0,1,2,3,4,2,1,0,3,1,2,0,3,1,0,True
