Strategy,Average Expectation,Elapsed Time,Memory,Expectation_0,Expectation_1,Expectation_2,Expectation_3,Expectation_4,Expectation_5,Expectation_6,Expectation_7,Expectation_8,Expectation_9,Expectation_10,Expectation_11,Expectation_12,Expectation_13,SECURITY_Prob_Pos_0,SECURITY_Prob_Pos_1,SECURITY_Prob_Pos_2,SECURITY_Prob_Pos_3,SECURITY_Prob_Pos_4,SECURITY_Prob_Pos_5,SECURITY_Prob_Pos_6,SECURITY_Prob_Pos_7,SECURITY_Prob_Pos_8,SECURITY_Prob_Pos_9,SECURITY_Prob_Pos_10,SECURITY_Prob_Pos_11,SECURITY_Prob_Pos_12,SECURITY_Prob_Pos_13,NORMAL_Prob_Pos_0,NORMAL_Prob_Pos_1,NORMAL_Prob_Pos_2,NORMAL_Prob_Pos_3,NORMAL_Prob_Pos_4,NORMAL_Prob_Pos_5,NORMAL_Prob_Pos_6,NORMAL_Prob_Pos_7,NORMAL_Prob_Pos_8,NORMAL_Prob_Pos_9,NORMAL_Prob_Pos_10,NORMAL_Prob_Pos_11,NORMAL_Prob_Pos_12,NORMAL_Prob_Pos_13,RISKY_Prob_Pos_0,RISKY_Prob_Pos_1,RISKY_Prob_Pos_2,RISKY_Prob_Pos_3,RISKY_Prob_Pos_4,RISKY_Prob_Pos_5,RISKY_Prob_Pos_6,RISKY_Prob_Pos_7,RISKY_Prob_Pos_8,RISKY_Prob_Pos_9,RISKY_Prob_Pos_10,RISKY_Prob_Pos_11,RISKY_Prob_Pos_12,RISKY_Prob_Pos_13,Layout_Pos_0,Layout_Pos_1,Layout_Pos_2,Layout_Pos_3,Layout_Pos_4,Layout_Pos_5,Layout_Pos_6,Layout_Pos_7,Layout_Pos_8,Layout_Pos_9,Layout_Pos_10,Layout_Pos_11,Layout_Pos_12,Layout_Pos_13,Layout_Pos_14,Circle
Optimal_MDP,6.161428571428572,1.7555088996887207,3.015625,12.017,11.183,9.12,9.5,8.256,6.812,5.661,3.988,2.977,2.033,5.534,4.127,3.021,2.031,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,0,True
Optimal_QLearning,6.119178571428571,17.224148988723755,8.328125,11.9385,10.926,8.8296,9.5589,8.2262,6.8437,5.67,3.9337,3.0517,2.0013,5.6972,4.0088,2.9707,2.0122,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,0,True
Always_Security,8.648,3.1947457790374756,0.390625,16.689,15.069,13.261,13.98,12.152,9.979,7.924,6.036,3.987,2.068,7.864,6.001,4.083,1.979,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,0,True
Always_Normal,13.461857142857143,3.7871501445770264,0.125,19.939,18.876,15.557,16.892,15.642,14.888,11.972,11.78,8.584,11.385,11.59,12.226,7.424,11.711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,0,True
Always_Risky,18.436642857142857,3.882448196411133,0.015625,22.805,22.609,20.38,21.308,19.449,19.364,18.283,13.907,15.598,17.712,18.12,13.71,16.195,18.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,0,True
Random,14.402642857142856,5.26360011100769,0.015625,20.473,19.191,17.186,18.071,16.281,15.528,13.3,11.023,10.71,11.098,14.011,12.362,11.138,11.265,0.31275204795204775,0.32256195849284713,0.294039892266596,0.3008094414236283,0.3087877974156169,0.3151184463684464,0.3197597001763669,0.2695056049034349,0.29321676587301587,0.346768471180236,0.35345414696879135,0.288056333644569,0.29424466338259453,0.34733843537414966,0.3432004079254079,0.3385832941545212,0.35457149480098027,0.3392095073323447,0.3647633694626177,0.34833303270803273,0.3457760141093476,0.3289105158454165,0.3485382564484127,0.3239094892036068,0.303832708435219,0.33987706193588546,0.3571592775041051,0.31477040816326524,0.34404754412254396,0.33885474735263177,0.3513886129324238,0.359981051244027,0.32644883312176554,0.336548520923521,0.3344642857142858,0.4015838792511487,0.3582449776785715,0.32932203961615736,0.3427131445959897,0.3720666044195456,0.3485960591133004,0.33789115646258505,0,3,3,3,3,3,3,3,3,3,3,3,3,3,0,True
