Strategy,Average Expectation,Elapsed Time,Memory,Expectation_0,Expectation_1,Expectation_2,Expectation_3,Expectation_4,Expectation_5,Expectation_6,Expectation_7,Expectation_8,Expectation_9,Expectation_10,Expectation_11,Expectation_12,Expectation_13,SECURITY_Prob_Pos_0,SECURITY_Prob_Pos_1,SECURITY_Prob_Pos_2,SECURITY_Prob_Pos_3,SECURITY_Prob_Pos_4,SECURITY_Prob_Pos_5,SECURITY_Prob_Pos_6,SECURITY_Prob_Pos_7,SECURITY_Prob_Pos_8,SECURITY_Prob_Pos_9,SECURITY_Prob_Pos_10,SECURITY_Prob_Pos_11,SECURITY_Prob_Pos_12,SECURITY_Prob_Pos_13,NORMAL_Prob_Pos_0,NORMAL_Prob_Pos_1,NORMAL_Prob_Pos_2,NORMAL_Prob_Pos_3,NORMAL_Prob_Pos_4,NORMAL_Prob_Pos_5,NORMAL_Prob_Pos_6,NORMAL_Prob_Pos_7,NORMAL_Prob_Pos_8,NORMAL_Prob_Pos_9,NORMAL_Prob_Pos_10,NORMAL_Prob_Pos_11,NORMAL_Prob_Pos_12,NORMAL_Prob_Pos_13,RISKY_Prob_Pos_0,RISKY_Prob_Pos_1,RISKY_Prob_Pos_2,RISKY_Prob_Pos_3,RISKY_Prob_Pos_4,RISKY_Prob_Pos_5,RISKY_Prob_Pos_6,RISKY_Prob_Pos_7,RISKY_Prob_Pos_8,RISKY_Prob_Pos_9,RISKY_Prob_Pos_10,RISKY_Prob_Pos_11,RISKY_Prob_Pos_12,RISKY_Prob_Pos_13,Layout_Pos_0,Layout_Pos_1,Layout_Pos_2,Layout_Pos_3,Layout_Pos_4,Layout_Pos_5,Layout_Pos_6,Layout_Pos_7,Layout_Pos_8,Layout_Pos_9,Layout_Pos_10,Layout_Pos_11,Layout_Pos_12,Layout_Pos_13,Layout_Pos_14,Circle
Optimal_MDP,1.8934999999999997,1.7218341827392578,3.09375,2.187,1.838,1.865,1.827,1.844,1.85,1.914,1.602,2.063,2.014,1.906,1.612,2.022,1.965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,0,True
Optimal_QLearning,1.8916642857142858,16.867530822753906,9.5625,2.1671,1.846,1.853,1.8485,1.8075,1.8401,1.8731,1.6744,2.0023,1.9898,1.8888,1.6686,2.0274,1.9967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,0,True
Always_Security,8.635857142857143,3.236531972885132,0.453125,16.981,14.975,13.007,13.842,11.992,10.044,7.938,5.914,4.072,2.008,8.065,6.014,3.965,2.085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,0,True
Always_Normal,5.681785714285715,3.6653401851654053,0.0,8.195,7.946,6.597,6.748,6.181,5.964,4.907,5.257,3.524,5.314,4.921,5.065,3.596,5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,0,True
Always_Risky,1.9371428571428573,3.9765729904174805,0.0,2.181,1.888,1.907,1.937,1.856,1.855,1.982,1.656,2.146,1.965,1.917,1.709,2.083,2.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,0,True
Random,6.127857142857144,5.092226266860962,0.046875,8.657,7.928,7.137,7.184,6.605,6.371,5.904,5.442,4.928,4.782,5.963,4.822,5.126,4.941,0.3020217365967365,0.3392862919063793,0.2955010454002388,0.3261376131269558,0.3426292699548514,0.3056205035971223,0.29679619646600774,0.3078859108913754,0.27587407812073195,0.32780666545034376,0.3345604395604395,0.28445512820512814,0.30628328008519706,0.27219358533791516,0.34920068265068244,0.3081687114438207,0.3305486217784605,0.35481053878034347,0.3161697475650964,0.3273531175059952,0.3439959568733156,0.3341746899123949,0.3635527633615589,0.3408410873928114,0.34639194139194146,0.36228632478632466,0.32016582991023873,0.36368843069874,0.34877758075258075,0.35254499664980005,0.3739503328213006,0.31905184809270076,0.34120098248005226,0.3670263788968824,0.3592078466606769,0.3579393991962299,0.36057315851770916,0.331352247156845,0.319047619047619,0.3532585470085468,0.3735508900045642,0.3641179839633448,0,4,4,4,4,4,4,4,4,4,4,4,4,4,0,True
