Strategy,Average Expectation,Elapsed Time,Memory,Expectation_0,Expectation_1,Expectation_2,Expectation_3,Expectation_4,Expectation_5,Expectation_6,Expectation_7,Expectation_8,Expectation_9,Expectation_10,Expectation_11,Expectation_12,Expectation_13,SECURITY_Prob_Pos_0,SECURITY_Prob_Pos_1,SECURITY_Prob_Pos_2,SECURITY_Prob_Pos_3,SECURITY_Prob_Pos_4,SECURITY_Prob_Pos_5,SECURITY_Prob_Pos_6,SECURITY_Prob_Pos_7,SECURITY_Prob_Pos_8,SECURITY_Prob_Pos_9,SECURITY_Prob_Pos_10,SECURITY_Prob_Pos_11,SECURITY_Prob_Pos_12,SECURITY_Prob_Pos_13,NORMAL_Prob_Pos_0,NORMAL_Prob_Pos_1,NORMAL_Prob_Pos_2,NORMAL_Prob_Pos_3,NORMAL_Prob_Pos_4,NORMAL_Prob_Pos_5,NORMAL_Prob_Pos_6,NORMAL_Prob_Pos_7,NORMAL_Prob_Pos_8,NORMAL_Prob_Pos_9,NORMAL_Prob_Pos_10,NORMAL_Prob_Pos_11,NORMAL_Prob_Pos_12,NORMAL_Prob_Pos_13,RISKY_Prob_Pos_0,RISKY_Prob_Pos_1,RISKY_Prob_Pos_2,RISKY_Prob_Pos_3,RISKY_Prob_Pos_4,RISKY_Prob_Pos_5,RISKY_Prob_Pos_6,RISKY_Prob_Pos_7,RISKY_Prob_Pos_8,RISKY_Prob_Pos_9,RISKY_Prob_Pos_10,RISKY_Prob_Pos_11,RISKY_Prob_Pos_12,RISKY_Prob_Pos_13,Layout_Pos_0,Layout_Pos_1,Layout_Pos_2,Layout_Pos_3,Layout_Pos_4,Layout_Pos_5,Layout_Pos_6,Layout_Pos_7,Layout_Pos_8,Layout_Pos_9,Layout_Pos_10,Layout_Pos_11,Layout_Pos_12,Layout_Pos_13,Layout_Pos_14,Circle
Optimal_MDP,1.0223571428571427,1.5294978618621826,3.203125,1.313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,0,False
Optimal_QLearning,1.0249642857142856,14.96879506111145,9.3125,1.3495,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,0,False
Always_Security,8.66942857142857,3.298213005065918,0.03125,17.075,15.172,13.35,14.067,11.896,10.016,7.959,6.01,3.937,2.005,7.913,5.984,4.059,1.929,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,0,False
Always_Normal,2.898357142857143,2.0217738151550293,0.09375,5.36,4.845,3.902,4.123,3.674,3.136,2.656,2.159,1.673,1.265,2.657,2.235,1.644,1.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,0,False
Always_Risky,1.0247142857142857,1.515263319015503,0.0625,1.346,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,0,False
Random,3.1277142857142857,2.593137264251709,0.015625,5.748,4.96,4.106,4.502,3.903,3.457,2.939,2.461,1.846,1.369,2.908,2.369,1.893,1.327,0.2877333333333334,0.2905454545454547,0.2851294241944004,0.3172521467603435,0.31875466070096947,0.30139400022304,0.276969696969697,0.3100441501103752,0.3008258258258259,0.3205809663046505,0.34065106268496104,0.2867968870396055,0.2983079526226735,0.32041184041184045,0.3628416666666665,0.3634848484848487,0.36542525092445854,0.3604044691647152,0.30055928411633104,0.3459072153451544,0.36594696969696966,0.33016924208977194,0.374924924924925,0.31029657477025896,0.3348130212536993,0.3375096316843891,0.34729272419627755,0.32241956241956243,0.34942499999999976,0.34596969696969715,0.349445324881141,0.32234338407494134,0.3806860551826994,0.35269878443180547,0.35708333333333336,0.3597866077998529,0.32424924924924914,0.36912245892509055,0.32453591606133986,0.37569348127600555,0.3543993231810491,0.35716859716859717,0,4,4,4,4,4,4,4,4,4,4,4,4,4,0,False
