Strategy,Average Expectation,Elapsed Time,Memory,Expectation_0,Expectation_1,Expectation_2,Expectation_3,Expectation_4,Expectation_5,Expectation_6,Expectation_7,Expectation_8,Expectation_9,Expectation_10,Expectation_11,Expectation_12,Expectation_13,SECURITY_Prob_Pos_0,SECURITY_Prob_Pos_1,SECURITY_Prob_Pos_2,SECURITY_Prob_Pos_3,SECURITY_Prob_Pos_4,SECURITY_Prob_Pos_5,SECURITY_Prob_Pos_6,SECURITY_Prob_Pos_7,SECURITY_Prob_Pos_8,SECURITY_Prob_Pos_9,SECURITY_Prob_Pos_10,SECURITY_Prob_Pos_11,SECURITY_Prob_Pos_12,SECURITY_Prob_Pos_13,NORMAL_Prob_Pos_0,NORMAL_Prob_Pos_1,NORMAL_Prob_Pos_2,NORMAL_Prob_Pos_3,NORMAL_Prob_Pos_4,NORMAL_Prob_Pos_5,NORMAL_Prob_Pos_6,NORMAL_Prob_Pos_7,NORMAL_Prob_Pos_8,NORMAL_Prob_Pos_9,NORMAL_Prob_Pos_10,NORMAL_Prob_Pos_11,NORMAL_Prob_Pos_12,NORMAL_Prob_Pos_13,RISKY_Prob_Pos_0,RISKY_Prob_Pos_1,RISKY_Prob_Pos_2,RISKY_Prob_Pos_3,RISKY_Prob_Pos_4,RISKY_Prob_Pos_5,RISKY_Prob_Pos_6,RISKY_Prob_Pos_7,RISKY_Prob_Pos_8,RISKY_Prob_Pos_9,RISKY_Prob_Pos_10,RISKY_Prob_Pos_11,RISKY_Prob_Pos_12,RISKY_Prob_Pos_13,Layout_Pos_0,Layout_Pos_1,Layout_Pos_2,Layout_Pos_3,Layout_Pos_4,Layout_Pos_5,Layout_Pos_6,Layout_Pos_7,Layout_Pos_8,Layout_Pos_9,Layout_Pos_10,Layout_Pos_11,Layout_Pos_12,Layout_Pos_13,Layout_Pos_14,Circle
Optimal_MDP,8.630214285714285,3.362671136856079,2.578125,17.008,14.887,13.036,14.05,12.053,9.908,8.107,5.884,3.952,2.052,7.893,5.853,4.04,2.1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,False
Optimal_QLearning,19.397114285714284,72.34295606613159,22.4375,36.6707,34.5676,32.6262,32.9967,31.1252,29.6154,24.8852,5.9941,4.0142,1.9857,25.0493,6.0247,4.0005,2.0041,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,False
Always_Security,8.681714285714287,3.367053747177124,0.109375,16.919,15.143,13.218,14.159,12.074,10.098,8.048,5.999,3.922,2.081,7.942,5.92,4.046,1.975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,False
Always_Normal,54.83307142857143,19.407000064849854,1.171875,73.881,73.523,70.267,71.368,71.662,67.506,64.334,55.4,36.121,15.393,62.708,56.245,33.561,15.694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,False
Always_Risky,78.84935714285714,28.618640899658203,0.171875,100.0,100.0,100.0,100.0,100.0,100.0,100.0,74.359,50.401,25.057,100.0,75.943,52.183,25.948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,False
Random,64.78049999999999,31.32228684425354,0.015625,89.618,88.96,86.134,87.449,86.536,84.937,76.776,59.313,37.468,18.343,76.391,60.405,38.274,16.323,0.33402055905144923,0.3317783825660275,0.3208285690139832,0.28963887498060165,0.26793620674076074,0.27098976109215017,0.3294871794871794,0.33442982456140347,0.2523809523809524,0.15384615384615385,0.28154666970456443,0.2715427657873701,0.2349290780141844,0.27594936708860757,0.3399972267836144,0.33356165913333424,0.34529238730305134,0.35918664335930517,0.37178097045269737,0.33583617747440264,0.31666666666666665,0.2576754385964913,0.4119047619047619,0.3076923076923077,0.3592769803296119,0.3346922462030375,0.35106382978723405,0.39493670886075943,0.32598221416493617,0.3346599583006396,0.33387904368296545,0.3511744816600933,0.360282822806542,0.3931740614334471,0.35384615384615387,0.40789473684210525,0.3357142857142857,0.5384615384615384,0.35917634996582376,0.39376498800959236,0.41400709219858156,0.3291139240506329,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,False
