Strategy,Average Expectation,Elapsed Time,Memory,Expectation_0,Expectation_1,Expectation_2,Expectation_3,Expectation_4,Expectation_5,Expectation_6,Expectation_7,Expectation_8,Expectation_9,Expectation_10,Expectation_11,Expectation_12,Expectation_13,SECURITY_Prob_Pos_0,SECURITY_Prob_Pos_1,SECURITY_Prob_Pos_2,SECURITY_Prob_Pos_3,SECURITY_Prob_Pos_4,SECURITY_Prob_Pos_5,SECURITY_Prob_Pos_6,SECURITY_Prob_Pos_7,SECURITY_Prob_Pos_8,SECURITY_Prob_Pos_9,SECURITY_Prob_Pos_10,SECURITY_Prob_Pos_11,SECURITY_Prob_Pos_12,SECURITY_Prob_Pos_13,NORMAL_Prob_Pos_0,NORMAL_Prob_Pos_1,NORMAL_Prob_Pos_2,NORMAL_Prob_Pos_3,NORMAL_Prob_Pos_4,NORMAL_Prob_Pos_5,NORMAL_Prob_Pos_6,NORMAL_Prob_Pos_7,NORMAL_Prob_Pos_8,NORMAL_Prob_Pos_9,NORMAL_Prob_Pos_10,NORMAL_Prob_Pos_11,NORMAL_Prob_Pos_12,NORMAL_Prob_Pos_13,RISKY_Prob_Pos_0,RISKY_Prob_Pos_1,RISKY_Prob_Pos_2,RISKY_Prob_Pos_3,RISKY_Prob_Pos_4,RISKY_Prob_Pos_5,RISKY_Prob_Pos_6,RISKY_Prob_Pos_7,RISKY_Prob_Pos_8,RISKY_Prob_Pos_9,RISKY_Prob_Pos_10,RISKY_Prob_Pos_11,RISKY_Prob_Pos_12,RISKY_Prob_Pos_13,Layout_Pos_0,Layout_Pos_1,Layout_Pos_2,Layout_Pos_3,Layout_Pos_4,Layout_Pos_5,Layout_Pos_6,Layout_Pos_7,Layout_Pos_8,Layout_Pos_9,Layout_Pos_10,Layout_Pos_11,Layout_Pos_12,Layout_Pos_13,Layout_Pos_14,Circle
Optimal_MDP,8.725428571428571,3.501500129699707,3.671875,17.191,15.394,13.159,14.17,12.138,9.921,7.93,6.029,4.097,2.001,8.031,6.112,3.886,2.097,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,True
Optimal_QLearning,47.404471428571426,172.87690591812134,7.75,66.3161,65.8316,64.5817,64.6873,63.5756,62.4391,57.0285,50.6721,28.1838,1.9814,57.1737,51.1088,28.1086,1.9743,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,True
Always_Security,8.620714285714287,3.180382013320923,0.15625,16.93,14.944,13.108,13.866,12.013,10.045,8.051,6.054,3.98,1.982,7.884,5.896,3.915,2.022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,True
Always_Normal,66.62821428571428,23.238656997680664,0.328125,78.661,80.937,79.926,80.333,78.021,78.698,71.022,65.855,42.553,49.137,70.745,66.587,42.02,48.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,True
Always_Risky,89.2585,31.45737385749817,0.078125,100.0,100.0,100.0,100.0,100.0,100.0,100.0,73.666,74.458,74.854,100.0,76.141,75.646,74.854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,True
Random,75.65164285714286,36.19679307937622,0.015625,91.02,90.332,89.275,89.802,90.409,86.885,83.058,69.492,60.399,50.5,81.606,67.83,57.453,51.062,0.3348552480440333,0.34229121314336935,0.33587454267868416,0.2943952745554172,0.2716120658789832,0.28148148148148155,0.2752525252525252,0.24553571428571433,0.18939393939393942,0.08333333333333333,0.2900692510887414,0.2878504672897197,0.25460636515912893,0.31647940074906367,0.33472113588831415,0.33319998334793693,0.3394864472429873,0.3407556757200888,0.3394110275689222,0.33038194444444446,0.36931818181818177,0.41964285714285715,0.34848484848484845,0.4166666666666667,0.3579353180552582,0.32087227414330205,0.3626465661641542,0.297752808988764,0.3304236160676532,0.32450880350869543,0.32463901007832907,0.36484904972449445,0.3889769065520946,0.3881365740740741,0.355429292929293,0.33482142857142855,0.4621212121212121,0.5,0.3519954308560008,0.39127725856697826,0.3827470686767169,0.3857677902621722,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,True
