Strategy,Average Expectation,Elapsed Time,Memory,Expectation_0,Expectation_1,Expectation_2,Expectation_3,Expectation_4,Expectation_5,Expectation_6,Expectation_7,Expectation_8,Expectation_9,Expectation_10,Expectation_11,Expectation_12,Expectation_13,SECURITY_Prob_Pos_0,SECURITY_Prob_Pos_1,SECURITY_Prob_Pos_2,SECURITY_Prob_Pos_3,SECURITY_Prob_Pos_4,SECURITY_Prob_Pos_5,SECURITY_Prob_Pos_6,SECURITY_Prob_Pos_7,SECURITY_Prob_Pos_8,SECURITY_Prob_Pos_9,SECURITY_Prob_Pos_10,SECURITY_Prob_Pos_11,SECURITY_Prob_Pos_12,SECURITY_Prob_Pos_13,NORMAL_Prob_Pos_0,NORMAL_Prob_Pos_1,NORMAL_Prob_Pos_2,NORMAL_Prob_Pos_3,NORMAL_Prob_Pos_4,NORMAL_Prob_Pos_5,NORMAL_Prob_Pos_6,NORMAL_Prob_Pos_7,NORMAL_Prob_Pos_8,NORMAL_Prob_Pos_9,NORMAL_Prob_Pos_10,NORMAL_Prob_Pos_11,NORMAL_Prob_Pos_12,NORMAL_Prob_Pos_13,RISKY_Prob_Pos_0,RISKY_Prob_Pos_1,RISKY_Prob_Pos_2,RISKY_Prob_Pos_3,RISKY_Prob_Pos_4,RISKY_Prob_Pos_5,RISKY_Prob_Pos_6,RISKY_Prob_Pos_7,RISKY_Prob_Pos_8,RISKY_Prob_Pos_9,RISKY_Prob_Pos_10,RISKY_Prob_Pos_11,RISKY_Prob_Pos_12,RISKY_Prob_Pos_13,Layout_Pos_0,Layout_Pos_1,Layout_Pos_2,Layout_Pos_3,Layout_Pos_4,Layout_Pos_5,Layout_Pos_6,Layout_Pos_7,Layout_Pos_8,Layout_Pos_9,Layout_Pos_10,Layout_Pos_11,Layout_Pos_12,Layout_Pos_13,Layout_Pos_14,Circle
Optimal_MDP,5.776785714285714,1.5572810173034668,2.828125,11.432,10.747,8.584,9.208,7.796,6.588,5.23,3.764,2.54,1.61,5.356,3.8,2.502,1.718,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,0,False
Optimal_QLearning,5.777200000000001,15.158464908599854,10.578125,11.5409,10.5513,8.528,9.2762,7.8616,6.5438,5.326,3.7596,2.5904,1.6766,5.2984,3.736,2.54,1.652,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,0,False
Always_Security,8.604214285714287,3.19455885887146,0.0625,16.859,15.014,13.025,13.874,12.062,9.963,8.078,5.979,3.787,1.969,7.986,5.924,3.943,1.996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,0,False
Always_Normal,6.628142857142858,1.9355709552764893,0.828125,13.026,12.516,9.748,10.572,9.046,7.558,6.009,4.511,2.956,1.811,5.891,4.442,2.931,1.777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,0,False
Always_Risky,5.8576428571428565,1.5277750492095947,0.0,12.163,11.17,8.532,9.202,7.948,6.414,5.32,3.846,2.558,1.59,5.226,3.932,2.52,1.586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,0,False
Random,6.624357142857144,2.57690691947937,0.28125,13.456,12.016,9.606,10.503,9.099,7.319,6.088,4.488,2.963,1.796,6.164,4.363,3.075,1.805,0.29625,0.3264422256357741,0.28638344226579526,0.2862487852283771,0.29045950155763234,0.2737656352863726,0.32400307561777497,0.2765428144351911,0.33378378378378376,0.31010324483775814,0.314010989010989,0.2813679245283019,0.27172907998150714,0.3070194917345176,0.358611111111111,0.3552910052910055,0.3400521319638968,0.34412050534499516,0.3225467289719625,0.37480250164581946,0.3204236928624456,0.32609972240017093,0.2603398853398853,0.3494837758112096,0.3739010989010989,0.34072327044025164,0.39852057327785484,0.33546755489760677,0.3451388888888889,0.3182667690732206,0.3735644257703082,0.36963070942662773,0.3869937694704048,0.3514318630678078,0.3555732315197794,0.39735746316463816,0.40587633087633096,0.34041297935103243,0.3120879120879121,0.3779088050314466,0.3297503467406381,0.35751295336787564,0,3,3,3,3,3,3,3,3,3,3,3,3,3,0,False
